Country of Origin,Altitude,Variety,Processing Method,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Category Two Defects
Colombia,1815.0,Castillo,Double Anaerobic Washed,89.33,11.8,0,0,3
Taiwan,1200.0,Gesha,Washed / Wet,87.58,10.5,0,0,0
Laos,1300.0,Java,Semi Washed,87.42,10.4,0,0,2
Costa Rica,1900.0,Gesha,Washed / Wet,87.17,11.8,0,0,0
Colombia,1975.0,Red Bourbon,"Honey,Mossto",87.08,11.6,0,2,2
Guatemala,1668.0,Gesha,Washed / Wet,87.0,10.7,0,0,2
Taiwan,1250.0,Gesha,Washed / Wet,86.92,9.1,0,0,0
Taiwan,1200.0,Sl34+Gesha,Natural / Dry,86.75,10.0,0,0,1
Taiwan,1250.0,SL34,Washed / Wet,86.67,10.8,0,0,0
"Tanzania, United Republic Of",1550.0,Bourbon,Washed / Wet,86.5,11.0,0,0,0
Ethiopia,2000.0,Ethiopian Heirlooms,Natural / Dry,86.25,11.8,0,1,1
Guatemala,2000.0,Gesha,Natural / Dry,86.25,11.5,0,0,1
Taiwan,1250.0,Gesha,Washed / Wet,86.25,11.9,0,0,0
Ethiopia,1950.0,Gesha,Natural / Dry,86.17,11.6,0,3,2
Colombia,1850.0,Caturra,Washed / Wet,86.17,10.6,0,0,0
Taiwan,1100.0,SL34,Pulped natural / honey,86.08,10.2,0,0,0
Ethiopia,2000.0,"Wolishalo,Kurume,Dega",Washed / Wet,86.08,11.3,0,2,2
Taiwan,1300.0,Gesha,Natural / Dry,86.08,10.3,0,0,0
Taiwan,1200.0,Gesha,Natural / Dry,85.92,11.0,0,0,1
"Tanzania, United Republic Of",1585.0,Bourbon,Washed / Wet,85.83,10.0,0,0,0
Guatemala,1900.0,Gesha,Natural / Dry,85.75,11.6,0,0,0
Taiwan,850.0,Typica,Natural / Dry,85.67,10.4,0,0,0
Thailand,1600.0,Catimor,Pulped natural / honey,85.67,9.8,0,0,5
Taiwan,1250.0,SL34,Washed / Wet,85.58,10.6,0,0,0
Taiwan,1300.0,Gesha,Natural / Dry,85.5,9.1,0,0,2
